# Warning! Next sybols will be ignored :  ,.!?()[]:;"
# Warning! All letters will be in lower-case
смотрела,81
чувствовала,81
знаешь,80
значение,80
народ,80
понимал,80
цели,80
воли,79
глазах,79
желая,79
какая,79
сами,79
середине,79
скажу,79
спросила,79
старик,79
толпы,79
всё,78
женщины,78
приказания,78
толпа,78
хоть,78
взглядом,77
история,77
находился,77
оба,77
поле,77
понимаю,77
причины,77
просто,77
дмитриевна,76
ехал,76
каким,76
самом,76
скорее,76
хочет,76
чувства,76
брат,75
видал,75
главнокомандующего,75
деле,75
наши,75
отвечала,75
петербург,75
самых,75
события,75
туда,75
француз,75
велел,74
вероятно,74
всякий,74
дороги,74
необходимости,74
образом,74
почувствовал,74
хотела,74
андреич,73
бога,73
иметь,73
легко,73
офицера,73
офицеров,73
растопчин,73
самые,73
стоит,73
беспрестанно,72
другим,72
жить,72
жюли,72
обеда,72
однако,72
прошел,72
русского,72
близко,71
вместо,71
жены,71
изредка,71
москва,71
сила,71
спрашивал,71
старого,71
утра,71
хочу,71
шли,71
году,70
господа,70
иначе,70
испытывал,70
начала,70
офицеры,70
письма,70
пленных,70
полка,70
раненых,70
слушал,70
такого,70
успел,70
чуть,70
гостиную,69
далеко,69
часов,69
бориса,68
вечера,68
желал,68
невозможно,68
никакого,68
никому,68
последние,68
свободы,68
солдата,68
боже,67
брата,67
другом,67
имеет,67
мире,67
неожиданно,67
одни,67
рад,67
руках,67
сердце,67
случае,67
внимание,66
генерала,66
дочь,66
молодого,66
одним,66
равно,66
сначала,66
столь,66
война,65
вопросы,65
вполне,65
делали,65
дочери,65
идет,65
известие,65
княжну,65
мужа,65
новое,65
отвечая,65
деятельность,64
идти,64
командир,64
кутузову,64
мной,64
наших,64
ночи,64
оглядываясь,64
подошла,64
пришел,64
разных,64
случилось,64
странно,64
страшно,64
вечером,63
графу,63
мира,63
получил,63
сидели,63
столько,63
шагами,63
анатоля,62
богу,62
горе,62
минут,62
одному,62
представить,62
состоянии,62
чувствуя,62
везде,61
вспомнил,61
горы,61
другими,61
дурно,61
души,61
кабинет,61
могут,61
мое,61
некоторые,61
раза,61
рядом,61
сказали,61
строго,61
тихон,61
французские,61
всему,60
домой,60
знали,60
князем,60
мост,60
одном,60
отношении,60
писал,60
послышались,60
радости,60
самым,60
спокойно,60
стояла,60
считал,60
французский,60
числе,60
александр,59
гостей,59
громко,59
дал,59
желание,59
любить,59
остановилась,59
первое,59
пожалуйста,59
смерть,59
смотреть,59
старался,59
тело,59
трудно,59
уехал,59
хотите,59
большую,58
бонапарте,58
взяв,58
какие,58
наташей,58
неужели,58
новые,58
полковник,58
сильнее,58
стола,58
страх,58
войско,57
д,57
десять,57
здоровье,57
ногами,57
ногу,57
перебил,57
поля,57
слышались,57
таких,57
александра,56
анны,56
виноват,56
деньги,56
илья,56
конце,56
крики,56
лежал,56
мальчик,56
показалось,56
речи,56
словами,56
счастье,56
ходить,56
хочешь,56
человеку,56
балашев,55
вчера,55
действие,55
деревне,55
доктора,55
другую,55
нашел,55
необходимо,55
несвицкий,55
план,55
прошу,55
рассказывал,55
руке,55
самому,55
такая,55
французами,55
человеком,55
четыре,55
болконского,54
вслед,54
гусар,54
дядюшка,54
маленькая,54
мама,54
моей,54
положения,54
сделали,54
слегка,54
внимания,53
едва,53
жалко,53
женщина,53
значит,53
кампании,53
капитан,53
которыми,53
лицами,53
народов,53
плечами,53
поцеловал,53
сквозь,53
событие,53
хуже,53
вернулся,52
вниз,52
движением,52
заметив,52
звук,52
мгновение,52
мои,52
навстречу,52
нечего,52
одинаково,52
поднял,52
понимать,52
постоянно,52
приказал,52
приказание,52
разговора,52
силу,52
сознание,52
степени,52
утром,52
французского,52
шагов,52
выше,51
генералу,51
гору,51
дней,51
испуганно,51
людям,51
мир,51
окна,51
полку,51
понимая,51
последний,51
пошла,51
пьером,51
пять,51
рассказал,51
тобой,51
ваш,50
год,50
голосов,50
делает,50
делалось,50
ею,50
лицах,50
любит,50
общества,50
общество,50
первого,50
позиции,50
слушая,50
трех,50
ходил,50
числа,50
батюшка,49
билибин,49
взять,49
видите,49
войне,49
вошла,49
головы,49
графине,49
деятельности,49
другая,49
духа,49
коли,49
крик,49
мыслей,49
наше,49
немного,49
непременно,49
неприятель,49
никак,49
огонь,49
орудия,49
отвечать,49
подъехал,49
позади,49
полковой,49
прелесть,49
принял,49
продолжала,49
русский,49
солнце,49
столу,49
третий,49
дворе,48
мнение,48
найти,48
нами,48
приятно,48
проговорила,48
происходило,48
скажите,48
сони,48
стороне,48
страха,48
твердо,48
этими,48
большие,47
боялся,47
возможность,47
вон,47
говорите,47
голова,47
действия,47
денег,47
другу,47
меньше,47
моего,47
нашего,47
оттуда,47
силах,47
слава,47
стол,47
улыбка,47
целью,47
адъютанта,46
вижу,46
вообще,46
девушка,46
жене,46
землю,46
казаки,46
маленькой,46
марью,46
мере,46
милая,46
принять,46
решительно,46
рода,46
свет,46
ужасно,46
улыбнулась,46
ура,46
участие,46
частью,46
читал,46
шопотом,46
верхом,45
возможности,45
вопросительно,45
вышли,45
двор,45
дел,45
жил,45
командира,45
кому,45
любила,45
маленький,45
обыкновенно,45
просил,45
русской,45
села,45
сил,45
слез,45
смеясь,45
спать,45
также,45
узнав,45
французской,45
часу,45
балашева,44
большое,44
величество,44
вера,44
воображении,44
груди,44
детей,44
заговорил,44
значения,44
линии,44
мужики,44
необходимость,44
неприятно,44
отношения,44
поздно,44
просить,44
рука,44
своею,44
соне,44
счастлив,44
тоном,44
человечества,44
багратиона,43
бенигсен,43
вещи,43
вне,43
город,43
дам,43
деревни,43
имели,43
казался,43
можем,43
новой,43
ног,43
отцу,43
первую,43
почтительно,43
представляется,43
состоит,43
ума,43
утро,43
хороша,43
шаги,43
виде,42
генералов,42
голубчик,42
гости,42
готов,42
даву,42
дети,42
желаю,42
леса,42
мари,42
мундире,42
отвернулся,42
причин,42
скажет,42
состояла,42
французских,42
шагом,42
взглянув,41
воля,41
выйти,41
гораздо,41
двадцать,41
деревню,41
душа,41
